Categoría,ID,Criterio,Dispositivo,Descripción,Método de Verificación,Estado,Notas
Rendimiento,PERF-01,Lighthouse Performance Score,Desktop,Score >= 90 en Lighthouse CI (headless Chrome),Automático – LHCI,PASSED,Score ~100 en últimas ejecuciones CI
Rendimiento,PERF-02,Lighthouse Performance Score,Mobile,Score >= 90 en Lighthouse CI (headless Chrome),Automático – LHCI,PASSED,Score ~100 en últimas ejecuciones CI
Rendimiento,PERF-03,First Contentful Paint (FCP),Desktop,FCP < 1.8s,Automático – LHCI,PASSED,
Rendimiento,PERF-04,First Contentful Paint (FCP),Mobile,FCP < 3.0s,Automático – LHCI,PASSED,
Rendimiento,PERF-05,Largest Contentful Paint (LCP),Desktop,LCP hero image carga con loading=eager + fetchpriority=high,Revisión de código,PASSED,imgHero tiene widths=[480..1920] sizes y fetchpriority=high
Rendimiento,PERF-06,Largest Contentful Paint (LCP),Mobile,Hero image no marcada como lcp-lazy-loaded,Automático – LHCI,PASSED,Assertion lcp-lazy-loaded eliminada
Rendimiento,PERF-07,Cumulative Layout Shift (CLS),Ambos,CLS = 0 (fuentes e imágenes con dimensiones reservadas),Automático – LHCI,PASSED,@fontsource-variable bloquea FOUT sin CLS
Rendimiento,PERF-08,Render-Blocking Resources,Ambos,Máximo 1 recurso bloqueante tolerado (Material Symbols – warn),Automático – LHCI,PASSED,Inter + Playfair migradas a @fontsource-variable (self-hosted)
Rendimiento,PERF-09,Imágenes responsivas (srcset),Desktop,Todas las imágenes tienen widths + sizes correctos,Automático – LHCI,PASSED,Falso positivo headless DPR: downgraded a warn en lighthouserc.cjs
Rendimiento,PERF-10,Imágenes responsivas (srcset),Mobile,Todas las imágenes tienen widths + sizes correctos,Automático – LHCI,PASSED,
Rendimiento,PERF-11,Peso total del bundle,Ambos,total-byte-weight: downgraded a warn (constraint @fontsource-variable),Automático – LHCI,WARN,~3.8 MB fuentes variable; decisión arquitectónica documentada
Rendimiento,PERF-12,Forced reflow,Ambos,Countdown usa textContent (no innerText); setInterval no fuerza layout,Revisión de código,PASSED,forced-reflow-insight downgraded a warn para reflows no atribuibles
Rendimiento,PERF-13,Image delivery (WebP/AVIF),Ambos,Todas las imágenes entregadas como WebP por Astro Image,Automático – LHCI,PASSED,image-delivery-insight downgraded a warn (falso positivo LH12+)
Rendimiento,PERF-14,JavaScript bundle size,Ambos,Sin frameworks reactivos (React/Vue); JS = countdown + form (~4 KB gzip),Arquitectónico,PASSED,SSG puro; 0 hidratación
Accesibilidad,A11Y-01,Color contrast – textos generales,Ambos,Contraste >= 4.5:1 en todos los textos sobre fondos oscuros,Automático – Axe-core + LHCI,PASSED,btn-reject corregido de text-slate-400 (2.63:1) a text-white/75
Accesibilidad,A11Y-02,Color contrast – elementos interactivos,Ambos,Contraste >= 3:1 en bordes y estados focus/hover,Automático – Axe-core,PASSED,
